"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-06-12 14:10:58","BUY","NIFTY2561225050PE","MIS","1500/1500",228.09,"COMPLETE",""
"2025-06-12 14:10:35","SELL","NIFTY2561225050PE","MIS","1500/1500",228,"COMPLETE",""
"2025-06-12 14:10:30","BUY","NIFTY2561225050PE","MIS","1500/1500",228.24,"COMPLETE",""
"2025-06-12 14:10:15","SELL","NIFTY2561225050PE","MIS","1500/1500",230,"COMPLETE",""
"2025-06-12 14:10:13","BUY","NIFTY2561225050PE","MIS","1500/1500",228.42,"COMPLETE",""
"2025-06-12 14:09:45","SELL","NIFTY2561225050PE","MIS","1500/1500",229,"COMPLETE",""
"2025-06-12 14:09:32","SELL","NIFTY2561225050PE","MIS","0/1500",246.8,"REJECTED",""
"2025-06-12 14:09:31","BUY","NIFTY2561225050PE","MIS","1500/1500",226.8,"COMPLETE",""
"2025-06-12 14:09:18","SELL","NIFTY2561225050PE","MIS","1500/1500",224.7,"COMPLETE",""
"2025-06-12 14:09:13","BUY","NIFTY2561225050PE","MIS","1500/1500",224.62,"COMPLETE",""
"2025-06-12 14:07:03","SELL","NIFTY2561225050PE","MIS","1500/1500",224.07,"COMPLETE",""
"2025-06-12 14:06:21","BUY","NIFTY2561225050PE","MIS","1500/1500",240.84,"COMPLETE",""
"2025-06-12 14:05:22","SELL","NIFTY2561225050PE","MIS","1500/1500",213.38,"COMPLETE",""
"2025-06-12 14:05:21","BUY","NIFTY2561225050PE","MIS","1500/1500",212.89,"COMPLETE",""
"2025-06-12 14:04:12","SELL","NIFTY2561225050PE","MIS","1500/1500",205.47,"COMPLETE",""
"2025-06-12 14:04:11","BUY","NIFTY2561225050PE","MIS","1500/1500",205.43,"COMPLETE",""
"2025-06-12 14:02:07","SELL","NIFTY2561225050PE","MIS","1500/1500",214.05,"COMPLETE",""
"2025-06-12 14:02:02","BUY","NIFTY2561225050PE","MIS","1500/1500",219.2,"COMPLETE",""
"2025-06-12 13:48:47","SELL","NIFTY2561225050PE","MIS","1500/1500",181.67,"COMPLETE",""
"2025-06-12 13:48:46","BUY","NIFTY2561225050PE","MIS","1500/1500",180.78,"COMPLETE",""
"2025-06-12 13:45:38","SELL","NIFTY2561225050PE","MIS","1500/1500",162.95,"COMPLETE",""
"2025-06-12 13:45:31","SELL","NIFTY2561225050PE","MIS","0/1275",176.7,"REJECTED",""
"2025-06-12 13:45:21","SELL","NIFTY2561225050PE","MIS","0/1275",176.7,"REJECTED",""
"2025-06-12 13:45:11","SELL","NIFTY2561225050PE","MIS","0/1275",176.7,"REJECTED",""
"2025-06-12 13:45:01","SELL","NIFTY2561225050PE","MIS","0/1275",176.7,"REJECTED",""
"2025-06-12 13:44:16","BUY","NIFTY2561225050PE","MIS","1500/1500",156.76,"COMPLETE",""
"2025-06-12 13:43:08","SELL","SENSEX2561782200PE","MIS","400/400",671.65,"COMPLETE",""
"2025-06-12 13:42:32","BUY","SENSEX2561782200PE","MIS","400/400",674.62,"COMPLETE",""
"2025-06-12 13:42:11","SELL","NIFTY2561225050PE","MIS","1500/1500",152.35,"COMPLETE",""
"2025-06-12 13:42:03","BUY","NIFTY2561225050PE","MIS","1500/1500",155.79,"COMPLETE",""
"2025-06-12 13:38:50","SELL","NIFTY2561225050PE","MIS","1500/1500",139.42,"COMPLETE",""
